date,closing quotation,opening quotation,high,low,price change
2014/10/23,6.1195,6.118,6.121,6.1179,0.0002
2014/10/24,6.117,6.1193,6.1223,6.1155,-0.0004
2014/10/27,6.1165,6.1164,6.1172,6.113,-0.0001
2014/10/28,6.1133,6.1166,6.1166,6.1115,-0.0005
2014/10/29,6.1112,6.1135,6.1135,6.1082,-0.0003
2014/10/30,6.1145,6.1158,6.1165,6.113,0.0005
2014/10/31,6.1127,6.1152,6.1152,6.1075,-0.0003
2014/11/3,6.1183,6.1171,6.1191,6.1162,0.0009
2014/11/4,6.1152,6.1177,6.1189,6.1138,-0.0005
2014/11/5,6.114,6.112,6.1149,6.1105,-0.0002
2014/11/6,6.112,6.1152,6.1164,6.1109,-0.0003
2014/11/7,6.1227,6.1119,6.1231,6.1119,0.0018
2014/11/10,6.1195,6.118,6.1206,6.1132,-0.0005
2014/11/11,6.1245,6.12,6.1255,6.1166,0.0008
2014/11/12,6.1262,6.1223,6.1282,6.1223,0.0003
2014/11/13,6.1248,6.1266,6.128,6.1237,-0.0002
2014/11/14,6.1295,6.1218,6.1315,6.1213,0.0008
2014/11/17,6.1243,6.1292,6.1301,6.123,-0.0008
2014/11/18,6.1213,6.125,6.125,6.1184,-0.0005
2014/11/19,6.1195,6.1214,6.122,6.1162,-0.0003
2014/11/20,6.1235,6.12,6.1259,6.12,0.0007
2014/11/21,6.1249,6.1201,6.1258,6.1194,0.0002
2014/11/24,6.1417,6.1292,6.1446,6.129,0.0027
2014/11/25,6.1365,6.1421,6.1462,6.1365,-0.0008
2014/11/26,6.1391,6.1334,6.1399,6.1319,0.0004
2014/11/27,6.1391,6.1386,6.1393,6.1337,0
2014/11/28,6.1432,6.1382,6.1489,6.1382,0.0007
2014/12/1,6.152,6.1434,6.152,6.1434,0.0014
2014/12/2,6.1495,6.1467,6.1512,6.1462,-0.0004
2014/12/3,6.1502,6.15,6.1528,6.1463,0.0001
2014/12/4,6.1546,6.151,6.1556,6.1487,0.0007
2014/12/5,6.1502,6.1507,6.1541,6.1497,-0.0007
2014/12/8,6.173,6.1495,6.173,6.1474,0.0037
2014/12/9,6.1878,6.1742,6.2081,6.1719,0.0024
2014/12/10,6.1766,6.1868,6.1977,6.1668,-0.0018
2014/12/11,6.1886,6.171,6.1905,6.1685,0.0019
2014/12/12,6.1869,6.189,6.1995,6.1808,-0.0003
2014/12/15,6.1905,6.188,6.195,6.183,0.0006
2014/12/16,6.1895,6.191,6.1982,6.1887,-0.0002
2014/12/17,6.197,6.1902,6.1985,6.1873,0.0012
2014/12/18,6.2145,6.1971,6.221,6.1971,0.0028
2014/12/19,6.2199,6.2151,6.2306,6.2134,0.0009
2014/12/22,6.2216,6.2197,6.2278,6.2151,0.0003
2014/12/23,6.2258,6.2218,6.2279,6.2202,0.0007
2014/12/24,6.2153,6.227,6.2318,6.2147,-0.0017
2014/12/25,6.197,6.215,6.2165,6.1907,-0.0029
2014/12/26,6.2129,6.199,6.2129,6.199,0.0026
2014/12/29,6.2225,6.2113,6.2289,6.211,0.0015
2014/12/30,6.202,6.222,6.2346,6.195,-0.0033
2014/12/31,6.2061,6.2025,6.2075,6.1908,0.0007
2015/1/1,6.2061,6.2061,6.2061,6.2061,0
2015/1/2,6.2061,6.2061,6.2061,6.2061,0
2015/1/5,6.2206,6.2178,6.224,6.2139,0.0023
2015/1/6,6.213,6.22,6.2204,6.206,-0.0012
2015/1/7,6.2129,6.2112,6.2144,6.2063,0
2015/1/8,6.2146,6.2138,6.2203,6.2118,0.0003
2015/1/9,6.2088,6.2097,6.2118,6.2045,-0.0009
2015/1/12,6.2032,6.2092,6.2092,6.1957,-0.0009
2015/1/13,6.1975,6.2029,6.205,6.197,-0.0009
2015/1/14,6.1959,6.1982,6.1982,6.1928,-0.0003
2015/1/15,6.1875,6.1946,6.1969,6.1875,-0.0014
2015/1/16,6.207,6.1951,6.213,6.1925,0.0032
2015/1/19,6.2195,6.2209,6.224,6.2135,0.002
2015/1/20,6.214,6.2192,6.2192,6.2113,-0.0009
2015/1/21,6.2115,6.2163,6.2197,6.2099,-0.0004
2015/1/22,6.2088,6.2118,6.2118,6.2058,-0.0004
2015/1/23,6.2285,6.218,6.2286,6.2162,0.0032
2015/1/26,6.254,6.2449,6.2558,6.2449,0.0041
2015/1/27,6.2435,6.2481,6.2532,6.2421,-0.0017
2015/1/28,6.248,6.238,6.2486,6.2375,0.0007
2015/1/29,6.2466,6.2475,6.2517,6.2453,-0.0002
2015/1/30,6.25,6.247,6.2516,6.2465,0.0005
2015/2/2,6.2597,6.2498,6.2604,6.2498,0.0016
2015/2/3,6.2578,6.2558,6.2586,6.2525,-0.0003
2015/2/4,6.2477,6.2458,6.2505,6.2446,-0.0016
2015/2/5,6.2521,6.2555,6.2555,6.2501,0.0007
2015/2/6,6.244,6.2526,6.2526,6.2365,-0.0013
2015/2/9,6.247,6.2446,6.2504,6.2444,0.0005
2015/2/10,6.241,6.2467,6.2473,6.2401,-0.001
2015/2/11,6.2427,6.242,6.2456,6.2407,0.0003
2015/2/12,6.2445,6.2428,6.2476,6.2428,0.0003
2015/2/13,6.2403,6.2454,6.2454,6.2371,-0.0007
2015/2/16,6.2485,6.2438,6.2493,6.2424,0.0013
2015/2/17,6.2551,6.2545,6.2554,6.2523,0.0011
2015/2/18,6.2551,6.2551,6.2551,6.2551,0
2015/2/19,6.2551,6.2551,6.2551,6.2551,0
2015/2/20,6.2551,6.2551,6.2551,6.2551,0
2015/2/23,6.2551,6.2551,6.2551,6.2551,0
2015/2/24,6.2551,6.2551,6.2551,6.2551,0
2015/2/25,6.2593,6.2568,6.2602,6.2562,0.0007
2015/2/26,6.2589,6.2598,6.2604,6.2578,-0.0001
